採樣時間,測站名稱,經度,緯度,一氧化碳,一氧化氮,二氧化氮,氮氧化物,臭氧,懸浮微粒,細懸浮微粒,二氧化硫,甲烷,非甲烷碳氫化合物,總碳氫化合物,風向,風速,溫度,相對濕度,空氣品質指標
2018-04-26 13:00:00,力行站,121.016270,24.766508,0.68,2.8,25.9,28.7,99.0,53.0,36.0,5.6,2.06,0.16,2.22,352.0,1.5,28.7,50.5,91.0
2018-04-26 13:00:00,興業站,120.989823,24.778000,0.57,0.7,14.5,15.2,88.8,54.0,29.0,5.5,2.17,0.25,2.42,360.0,2.5,28.7,52.4,91.0
2018-04-26 13:00:00,靜心湖站,121.01372,24.77834,0.67,0.8,11.1,28.7,101.3,48.0,32.6,1.6,1.96,0.56,2.52,352.2,1.4,28.4,52.0,91.0
2018-05-03 09:00:00,力行站,121.016270,24.766508,0.66,5.9,20.4,26.3,52.6,51.0,27.0,5.2,2.02,0.18,2.21,64.0,3.6,23.2,71.2,83.0
2018-05-03 09:00:00,興業站,120.989823,24.778000,0.68,1.5,13.2,14.7,52.9,53.0,26.0,3.9,2.16,0.16,2.31,67.0,3.3,23.3,69.2,86.0
2018-05-03 09:00:00,靜心湖站,121.01372,24.77834,0.66,1.2,7.6,26.3,60.1,57.0,28.1,0.8,1.9,0.44,2.34,50.6,2.1,23.0,70.6,83.0
2018-05-03 10:00:00,力行站,121.016270,24.766508,0.55,5.3,21.9,27.1,53.1,57.0,28.0,5.0,2.03,0.14,2.17,71.0,3.8,22.8,69.4,83.0
2018-05-03 10:00:00,興業站,120.989823,24.778000,0.61,1.7,13.6,15.3,53.8,55.0,27.0,6.0,2.26,0.21,2.46,60.0,3.0,23.6,66.3,84.0
2018-05-03 10:00:00,靜心湖站,121.01372,24.77834,0.6,1.1,7.6,27.1,61.1,49.0,24.4,0.9,1.88,0.42,2.3,49.6,1.8,23.2,67.7,83.0
2018-05-03 12:00:00,力行站,121.016270,24.766508,0.55,3.9,17.3,21.2,61.6,49.0,30.0,4.8,2.05,0.11,2.16,45.0,3.9,23.1,67.4,86.0
2018-05-03 12:00:00,興業站,120.989823,24.778000,0.45,1.3,12.2,13.5,59.1,56.0,27.0,3.9,2.21,0.19,2.4,57.0,2.9,23.6,64.1,85.0
2018-05-03 12:00:00,靜心湖站,121.01372,24.77834,0.55,1.1,7.8,21.2,64.9,985.0,29.9,1.5,1.88,0.42,2.3,49.8,1.9,23.3,66.0,86.0
2018-05-03 13:00:00,力行站,121.016270,24.766508,0.54,3.7,20.2,24.0,57.4,52.0,32.0,4.1,2.07,0.18,2.24,68.0,3.3,21.6,74.7,87.0
2018-05-03 13:00:00,興業站,120.989823,24.778000,0.42,0.7,11.8,12.5,57.9,46.0,28.0,3.3,2.2,0.21,2.41,76.0,3.0,21.2,77.5,87.0
2018-05-03 13:00:00,靜心湖站,121.01372,24.77834,0.54,0.9,6.9,24.0,64.8,46.0,27.1,0.5,1.88,0.44,2.32,55.9,1.7,21.3,76.8,87.0
2018-05-03 14:00:00,力行站,121.016270,24.766508,0.47,3.3,16.3,19.6,55.5,34.0,25.0,3.7,2.05,0.15,2.19,97.0,3.1,20.8,81.7,86.0
2018-05-03 14:00:00,興業站,120.989823,24.778000,0.4,0.8,12.7,13.5,50.8,29.0,24.0,3.4,2.15,0.19,2.33,94.0,3.2,20.2,86.6,86.0
2018-05-03 14:00:00,靜心湖站,121.01372,24.77834,0.53,0.9,8.4,19.6,56.2,29.0,25.3,0.3,1.93,0.46,2.39,93.3,1.3,20.5,85.4,86.0
2018-05-03 15:00:00,力行站,121.016270,24.766508,0.57,7.5,24.3,31.8,39.6,22.0,15.0,3.9,2.06,0.17,2.23,41.0,2.3,21.8,81.0,80.0
2018-05-03 15:00:00,興業站,120.989823,24.778000,0.47,1.2,12.5,13.7,41.9,22.0,19.0,3.1,2.14,0.17,2.31,46.0,1.5,21.5,82.0,80.0
2018-05-03 16:00:00,力行站,121.016270,24.766508,0.62,4.4,22.9,27.4,41.2,34.0,23.0,4.2,2.07,0.19,2.25,49.0,2.6,21.8,78.8,81.0
2018-05-03 16:00:00,興業站,120.989823,24.778000,0.55,1.8,21.8,23.6,36.3,45.0,32.0,4.1,2.23,0.24,2.47,37.0,1.8,21.8,79.3,81.0
2018-05-03 16:00:00,靜心湖站,121.01372,24.77834,0.59,1.1,11.9,27.4,45.0,33.0,23.5,0.3,1.97,0.56,2.53,16.9,1.6,21.8,78.6,81.0
2018-05-03 17:00:00,力行站,121.016270,24.766508,0.71,4.5,27.2,31.7,37.4,44.0,30.0,4.2,2.07,0.25,2.31,62.0,2.7,21.1,81.5,81.0
2018-05-03 17:00:00,興業站,120.989823,24.778000,0.53,1.2,21.0,22.2,37.1,46.0,31.0,4.0,2.21,0.27,2.48,54.0,2.0,21.1,81.1,81.0
2018-05-03 17:00:00,靜心湖站,121.01372,24.77834,0.62,0.9,13.5,31.7,44.7,41.0,25.3,0.4,1.87,0.59,2.46,40.0,1.5,21.1,81.5,81.0
2018-05-03 18:00:00,力行站,121.016270,24.766508,0.71,4.3,25.7,30.0,38.5,46.0,24.0,4.1,2.06,0.24,2.3,60.0,2.7,20.7,82.1,81.0
2018-05-03 18:00:00,興業站,120.989823,24.778000,0.53,1.0,20.4,21.4,38.6,45.0,29.0,3.8,2.21,0.19,2.4,57.0,2.3,20.6,81.6,81.0
2018-05-03 18:00:00,靜心湖站,121.01372,24.77834,0.64,0.6,11.3,30.0,47.4,36.0,29.0,0.2,1.84,0.57,2.41,48.9,1.3,20.6,81.7,81.0
2018-05-03 19:00:00,力行站,121.016270,24.766508,0.67,2.7,21.6,24.3,46.1,46.0,34.0,3.8,2.07,0.17,2.24,66.0,2.5,20.7,78.4,86.0
2018-05-03 19:00:00,興業站,120.989823,24.778000,0.44,0.6,15.6,16.2,46.2,47.0,34.0,3.0,2.24,0.23,2.47,55.0,2.3,20.6,78.0,86.0
2018-05-03 20:00:00,力行站,121.016270,24.766508,0.58,2.1,16.3,18.4,49.2,42.0,30.0,3.9,2.06,0.16,2.23,50.0,2.6,20.8,77.3,87.0
