採樣時間,經度,緯度,一氧化碳,一氧化氮,二氧化氮,氮氧化物,臭氧,懸浮微粒,細懸浮微粒,二氧化硫,甲烷,非甲烷碳氫化合物,總碳氫化合物,風向,風速,溫度,相對濕度,空氣品質指標,空氣品質指標
43216.54167,121.01627,24.766508,0.68,2.8,25.9,28.7,99,53,36,5.6,2.06,0.16,2.22,352,1.5,28.7,50.5,1,91
43216.54167,120.989823,24.778,0.57,0.7,14.5,15.2,88.8,54,29,5.5,2.17,0.25,2.42,360,2.5,28.7,52.4,1,91
43216.54167,121.01372,24.77834,0.67,0.8,11.1,28.7,101.3,48,32.6,1.6,1.96,0.56,2.52,352.2,1.4,28.4,52,1,91
43223.375,121.01627,24.766508,0.66,5.9,20.4,26.3,52.6,51,27,5.2,2.02,0.18,2.21,64,3.6,23.2,71.2,1,83
43223.375,120.989823,24.778,0.68,1.5,13.2,14.7,52.9,53,26,3.9,2.16,0.16,2.31,67,3.3,23.3,69.2,1,86
43223.375,121.01372,24.77834,0.66,1.2,7.6,26.3,60.1,57,28.1,0.8,1.9,0.44,2.34,50.6,2.1,23,70.6,1,83
43223.41667,121.01627,24.766508,0.55,5.3,21.9,27.1,53.1,57,28,5,2.03,0.14,2.17,71,3.8,22.8,69.4,1,83
43223.41667,120.989823,24.778,0.61,1.7,13.6,15.3,53.8,55,27,6,2.26,0.21,2.46,60,3,23.6,66.3,1,84
43223.41667,121.01372,24.77834,0.6,1.1,7.6,27.1,61.1,49,24.4,0.9,1.88,0.42,2.3,49.6,1.8,23.2,67.7,1,83
43223.5,121.01627,24.766508,0.55,3.9,17.3,21.2,61.6,49,30,4.8,2.05,0.11,2.16,45,3.9,23.1,67.4,1,86
43223.5,120.989823,24.778,0.45,1.3,12.2,13.5,59.1,56,27,3.9,2.21,0.19,2.4,57,2.9,23.6,64.1,1,85
43223.5,121.01372,24.77834,0.55,1.1,7.8,21.2,64.9,985,29.9,1.5,1.88,0.42,2.3,49.8,1.9,23.3,66,1,86
43223.54167,121.01627,24.766508,0.54,3.7,20.2,24,57.4,52,32,4.1,2.07,0.18,2.24,68,3.3,21.6,74.7,1,87
43223.54167,120.989823,24.778,0.42,0.7,11.8,12.5,57.9,46,28,3.3,2.2,0.21,2.41,76,3,21.2,77.5,1,87
43223.54167,121.01372,24.77834,0.54,0.9,6.9,24,64.8,46,27.1,0.5,1.88,0.44,2.32,55.9,1.7,21.3,76.8,1,87
43223.58333,121.01627,24.766508,0.47,3.3,16.3,19.6,55.5,34,25,3.7,2.05,0.15,2.19,97,3.1,20.8,81.7,1,86
43223.58333,120.989823,24.778,0.4,0.8,12.7,13.5,50.8,29,24,3.4,2.15,0.19,2.33,94,3.2,20.2,86.6,1,86
43223.58333,121.01372,24.77834,0.53,0.9,8.4,19.6,56.2,29,25.3,0.3,1.93,0.46,2.39,93.3,1.3,20.5,85.4,1,86
43223.625,121.01627,24.766508,0.57,7.5,24.3,31.8,39.6,22,15,3.9,2.06,0.17,2.23,41,2.3,21.8,81,0,80
43223.625,120.989823,24.778,0.47,1.2,12.5,13.7,41.9,22,19,3.1,2.14,0.17,2.31,46,1.5,21.5,82,0,80
43223.66667,121.01627,24.766508,0.62,4.4,22.9,27.4,41.2,34,23,4.2,2.07,0.19,2.25,49,2.6,21.8,78.8,1,81
43223.66667,120.989823,24.778,0.55,1.8,21.8,23.6,36.3,45,32,4.1,2.23,0.24,2.47,37,1.8,21.8,79.3,1,81
